	post_id	caption	date	comment_count	like_count
0	1460342641979750756	If only they gave out awards for my top two skills (travelling and overthinking) 🏆#millienialGoals	1488306430	3	81
1	1458896568702572644	Stay lit ✨	1488134045	5	62
2	1458424874271656557	Food memories 🍴	1488077814	7	220
3	1457452226054062570	Get friends who do both. #grateful	1487961866	9	46
4	1455252084856990151	Accents make the world a better place.	1487699588	4	74
5	1453097603029679841	Time to reflect ✨	1487442754	3	56
6	1452704284956991564	No guts, no glory	1487395867	9	99
7	1450961265198393908	Street photography (introvert edition)	1487188083	7	89
8	1447299989305867931	Yankee town.	1486751625	9	96
9	1446570802232410808	null	1486664699	7	77
10	1444528025130541071	Saffron and symmetry	1486421181	14	87
11	1442942242691069450	Tunnel vision 👀	1486232141	3	78
