,Supplier,OrderNo,ItemNo,ItemDescription,ItemCost,Quantity,CostPerOrder,APTerms,OrderDate,ArrivalDate,DeliveryTime,DeliveryTimeClassification
0,Hulkey Fasteners,Aug11001,1122,Airframe fasteners,$4.25,"""19,500""","""$82,875.00 """,30,8/5/11,08/13/11,8 days,medium
1,Alum Sheeting,Aug11002,1243,Airframe fasteners,$4.25,"""10,000""","""$42,500.00 """,30,8/8/11,08/14/11,6 days,medium
2,Fast-Tie Aerospace,Aug11003,5462,Shielded Cable/ft.,$1.05,"""23,000""","""$24,150.00 """,30,8/10/11,08/15/11,5 days,medium
3,Fast-Tie Aerospace,Aug11004,5462,Shielded Cable/ft.,$1.05,"""21,500""","""$22,575.00 """,30,08/15/11,08/22/11,7 days,medium
4,Steelpin Inc.,Aug11005,5319,Shielded Cable/ft.,$1.10,"""17,500""","""$19,250.00 """,30,08/20/11,08/31/11,11 days,long
5,Fast-Tie Aerospace,Aug11006,5462,Shielded Cable/ft.,$1.05,"""22,500""","""$23,625.00 """,30,08/20/11,08/26/11,6 days,medium
6,Steelpin Inc.,Aug11007,4312,Bolt-nut package,$3.75,"""4,250""","""$15,937.50 """,30,08/25/11,9/1/11,7 days,medium
7,Durrable Products,Aug11008,7258,Pressure Gauge,$90.00,100,"""$9,000.00 """,45,08/25/11,08/28/11,3 days,short
8,Fast-Tie Aerospace,Aug11009,6321,O-Ring,$2.45,"""1,300""","""$3,185.00 """,30,08/25/11,9/4/11,10 days,long
9,Fast-Tie Aerospace,Aug11010,5462,Shielded Cable/ft.,$1.05,"""22,500""","""$23,625.00 """,30,08/25/11,9/2/11,8 days,medium
10,Steelpin Inc.,Aug11011,5319,Shielded Cable/ft.,$1.10,"""18,100""","""$19,910.00 """,30,08/25/11,9/5/11,11 days,long
11,Hulkey Fasteners,Aug11012,3166,Electrical Connector,$1.25,"""5,600""","""$7,000.00 """,30,08/25/11,08/29/11,4 days,short
12,Hulkey Fasteners,Aug11013,9966,Hatch Decal,$0.75,500,$375.00,30,08/25/11,08/31/11,6 days,medium
13,Steelpin Inc.,Aug11014,5234,Electrical Connector,$1.65,"""4,500""","""$7,425.00 """,30,08/28/11,9/5/11,8 days,medium
14,Steelpin Inc.,Sep11001,4312,Bolt-nut package,$3.75,"""4,200""","""$15,750.00 """,30,9/1/11,9/10/11,9 days,medium
15,Alum Sheeting,Sep11002,5417,Control Panel,$255.00,406,"""$103,530.00 """,30,9/1/11,9/10/11,9 days,medium
16,Hulkey Fasteners,Sep11003,3166,Electrical Connector,$1.25,"""5,500""","""$6,875.00 """,30,9/1/11,9/6/11,5 days,medium
17,Steelpin Inc.,Sep11004,5234,Electrical Connector,$1.65,"""4,850""","""$8,002.50 """,30,9/2/11,9/11/11,9 days,medium
18,Steelpin Inc.,Sep11005,4312,Bolt-nut package,$3.75,"""4,150""","""$15,562.50 """,30,9/3/11,9/11/11,8 days,medium
19,Hulkey Fasteners,Sep11006,1122,Airframe fasteners,$4.25,"""15,500""","""$65,875.00 """,30,9/4/11,9/12/11,8 days,medium
20,Spacetime Technologies,Sep11007,4111,Bolt-nut package,$3.55,"""4,800""","""$17,040.00 """,25,9/5/11,09/20/11,15 days,long
21,Alum Sheeting,Sep11008,1243,Airframe fasteners,$4.25,"""9,000""","""$38,250.00 """,30,9/5/11,9/12/11,7 days,medium
22,Durrable Products,Sep11009,7258,Pressure Gauge,$90.00,120,"""$10,800.00 """,45,9/5/11,9/9/11,4 days,short
23,Steelpin Inc.,Sep11010,5234,Electrical Connector,$1.65,"""4,750""","""$7,837.50 """,30,9/5/11,09/13/11,8 days,medium
24,Hulkey Fasteners,Sep11011,1122,Airframe fasteners,$4.25,"""12,500""","""$53,125.00 """,30,9/5/11,9/11/11,6 days,medium
25,Hulkey Fasteners,Sep11012,5066,Shielded Cable/ft.,$0.95,"""25,000""","""$23,750.00 """,30,9/5/11,9/12/11,7 days,medium
26,Hulkey Fasteners,Sep11013,3166,Electrical Connector,$1.25,"""5,650""","""$7,062.50 """,30,9/5/11,9/10/11,5 days,medium
27,Hulkey Fasteners,Sep11014,1122,Airframe fasteners,$4.25,"""15,000""","""$63,750.00 """,30,9/8/11,09/15/11,7 days,medium
28,Spacetime Technologies,Sep11015,4111,Bolt-nut package,$3.55,"""4,585""","""$16,276.75 """,25,9/10/11,09/30/11,20 days,long
29,Hulkey Fasteners,Sep11016,3166,Electrical Connector,$1.25,"""5,425""","""$6,781.25 """,30,9/10/11,09/15/11,5 days,medium
30,Fast-Tie Aerospace,Sep11017,6321,O-Ring,$2.45,"""1,200""","""$2,940.00 """,30,9/12/11,09/23/11,11 days,long
31,Steelpin Inc.,Sep11018,5319,Shielded Cable/ft.,$1.10,"""16,500""","""$18,150.00 """,30,09/15/11,10/5/11,20 days,long
32,Spacetime Technologies,Sep11019,4111,Bolt-nut package,$3.55,"""4,200""","""$14,910.00 """,25,09/15/11,10/15/11,30 days,long
33,Hulkey Fasteners,Sep11020,5066,Shielded Cable/ft.,$0.95,"""17,500""","""$16,625.00 """,30,09/15/11,09/22/11,7 days,medium
34,Spacetime Technologies,Sep11021,9752,Gasket,$4.05,"""1,500""","""$6,075.00 """,25,09/20/11,09/25/11,5 days,medium
35,Spacetime Technologies,Sep11022,4111,Bolt-nut package,$3.55,"""4,250""","""$15,087.50 """,25,09/20/11,10/10/11,20 days,long
36,Pylon Accessories,Sep11023,9764,Gasket,$3.75,"""1,980""","""$7,425.00 """,15,09/20/11,09/29/11,9 days,medium
37,Pylon Accessories,Sep11024,9764,Gasket,$3.75,"""1,750""","""$6,562.50 """,15,09/20/11,09/25/11,5 days,medium
38,Spacetime Technologies,Sep11025,9752,Gasket,$4.05,"""1,550""","""$6,277.50 """,25,09/25/11,10/5/11,10 days,long
39,Spacetime Technologies,Sep11026,4111,Bolt-nut package,$3.55,"""4,200""","""$14,910.00 """,25,09/25/11,10/25/11,30 days,long
40,Durrable Products,Sep11027,1369,Airframe fasteners,$4.20,"""15,000""","""$63,000.00 """,45,09/25/11,09/30/11,5 days,medium
41,Manley Valve,Sep11028,6431,O-Ring,$2.85,"""1,300""","""$3,705.00 """,30,09/25/11,10/1/11,6 days,medium
42,Fast-Tie Aerospace,Sep11029,6321,O-Ring,$2.45,"""2,500""","""$6,125.00 """,30,09/25/11,10/4/11,9 days,medium
